English,Vietnamese,POS,English Sentence,Vietnamese Sentence,English example,Vietnamese example
Lolium temulentum,cỏ lùng,," Lolium temulentum, or darnel, is a weed that can be toxic if consumed. "," Cỏ lùng, hay còn gọi là darnel, là một loại cỏ dại có thể gây độc nếu ăn phải.",UNOBSERVED,UNOBSERVED
periencephalitis,viêm quanh não,n,  Periencephalitis is inflammation of the surface of the brain and the overlying meninges.  ,  Viêm quanh não là tình trạng viêm bề mặt não và các màng não bên trên.,UNOBSERVED,UNOBSERVED
body rocking,chuyển động đu đưa,,  Body rocking is a repetitive behavior that can be seen in individuals with developmental disorders.  ,  Chuyển động đu đưa của cơ thể là một hành vi lặp đi lặp lại có thể thấy ở những người bị rối loạn phát triển.,UNOBSERVED,UNOBSERVED
affectomotor,tăng hoạt động hưng cảm,a,"Manic episodes are characterized by elevated mood, increased energy, and affectomotor agitation or increased goal-directed activity.","Các giai đoạn hưng cảm được đặc trưng bởi tâm trạng phấn chấn, tăng năng lượng và kích động tăng hoạt động hưng cảm hoặc tăng hoạt động có mục đích.",UNOBSERVED,UNOBSERVED
microanatomy,mô học,n,"  Microanatomy involves the study of tissue structure at the microscopic level, essentially synonymous with histology.  ","  Mô học liên quan đến việc nghiên cứu cấu trúc mô ở cấp độ vi mô, về cơ bản đồng nghĩa với mô học.",UNOBSERVED,UNOBSERVED
Voit nucleus,nhân Voit,n,"  The Voit nucleus, also known as the interstitial nucleus of Cajal (rostral part), is a group of neurons located in the midbrain tegmentum involved in the control of vertical eye movements and a component of the neural integrator for vertical gaze.  ","  Nhân Voit, còn được gọi là nhân kẽ Cajal (phần mõm), là một nhóm các tế bào thần kinh nằm ở vùng mái não giữa, tham gia vào việc kiểm soát các chuyển động mắt theo chiều dọc và là một thành phần của bộ tích hợp thần kinh cho cái nhìn theo chiều dọc.",UNOBSERVED,UNOBSERVED
biopyoculture,cấy mủ tế bào sống,n, Biopyoculture requires careful handling under sterile conditions to isolate pathogens while maintaining the viability of host immune cells present in the pus. , Cấy mủ tế bào sống (Biopyoculture) đòi hỏi xử lý cẩn thận trong điều kiện vô trùng để phân lập mầm bệnh đồng thời duy trì khả năng sống của các tế bào miễn dịch vật chủ có trong mủ.,UNOBSERVED,UNOBSERVED
capsula adiposa renis,bao mỡ thận,n, The capsula adiposa renis is the fatty layer surrounding the kidney. , Bao mỡ thận là lớp mỡ bao quanh thận.,UNOBSERVED,UNOBSERVED
sclerose,xơ hóa,v," Atherosclerotic plaques can sclerose blood vessels, narrowing the lumen and reducing blood flow to vital organs. "," Các mảng xơ vữa động mạch có thể làm xơ hóa mạch máu, làm hẹp lòng mạch và giảm lưu lượng máu đến các cơ quan quan trọng.",UNOBSERVED,UNOBSERVED
proteinogenous,sinh protein,a,  Amino acids are the building blocks for proteinogenous processes within the cell.  ,  Axit amin là các khối xây dựng cho các quá trình sinh protein bên trong tế bào.,UNOBSERVED,UNOBSERVED
sitz bath,ngâm mông,,"  A sitz bath, a warm, shallow bath that cleanses the perineum, can relieve discomfort from hemorrhoids or an episiotomy.  ","  Ngâm mông trong bồn nước ấm, nông để làm sạch vùng đáy chậu, có thể làm giảm sự khó chịu do bệnh trĩ hoặc sau khi cắt tầng sinh môn.",UNOBSERVED,UNOBSERVED
hardness,độ cứng,n,  The hardness of tooth enamel protects teeth from wear and decay.  ,  Độ cứng của men răng bảo vệ răng khỏi bị mòn và sâu.,UNOBSERVED,UNOBSERVED
Jackson's rule,định luật Jacksons,n,"  According to Jackson's rule, epileptic seizures often begin in a localized area and spread in a predictable pattern.  ","  Theo định luật Jacksons (quy tắc Jackson), các cơn động kinh thường bắt đầu ở một khu vực cục bộ và lan rộng theo một kiểu có thể dự đoán được.",UNOBSERVED,UNOBSERVED
Nitabuch layer,lớp Nitabuch,n,  The Nitabuch layer is a fibrinoid layer found at the maternal-fetal interface in the placenta.  ,  Lớp Nitabuch là một lớp fibrinoid được tìm thấy ở giao diện mẹ-thai trong nhau thai.,UNOBSERVED,UNOBSERVED
saccharase,invertase,n," The enzyme saccharase, more commonly known in biochemical literature as invertase (EC 3.2.1.26), plays a crucial role in carbohydrate digestion by catalyzing the hydrolysis of sucrose (common table sugar) into its constituent monosaccharides, glucose and fructose, which can then be readily absorbed by the intestinal epithelium. "," Enzym invertase, thường được biết đến nhiều hơn trong tài liệu hóa sinh với tên gọi saccharase (EC 3.2.1.26), đóng một vai trò quan trọng trong tiêu hóa carbohydrate bằng cách xúc tác quá trình thủy phân sucrose (đường ăn thông thường) thành các monosaccharid cấu thành của nó là glucose và fructose, sau đó có thể được biểu mô ruột hấp thụ dễ dàng.",UNOBSERVED,UNOBSERVED
epiplomerocele,thoát vị đùi mạc nối,n,  An epiplomerocele is a femoral hernia that contains omentum.  ,  Thoát vị đùi mạc nối là một thoát vị đùi có chứa mạc nối.,UNOBSERVED,UNOBSERVED
Anders disease,bệnh Anders,n,"Anders disease, or Glycogen Storage Disease Type IV, is characterized by the accumulation of abnormal glycogen (amylopectin-like) in tissues, particularly the liver and muscle.","Bệnh Anders, hay Bệnh dự trữ Glycogen loại IV, được đặc trưng bởi sự tích tụ glycogen bất thường (giống amylopectin) trong các mô, đặc biệt là gan và cơ.",UNOBSERVED,UNOBSERVED
infantile cortical hyperostosis,phì đại màng xương bẩm sinh,n,"  Infantile cortical hyperostosis, or Caffey disease, is a rare condition causing bone inflammation in infants.  ","  Phì đại màng xương bẩm sinh, hay bệnh Caffey, là một tình trạng hiếm gặp gây viêm xương ở trẻ sơ sinh.",UNOBSERVED,UNOBSERVED
amphipyrenin,chất tạo màng nhân,n,"Amphipyrenin is an older term for the substance composing the nuclear membrane, now known to be primarily lipids and proteins.","Chất tạo màng nhân là một thuật ngữ cũ hơn cho chất cấu tạo nên màng nhân, hiện được biết đến chủ yếu là lipid và protein.",UNOBSERVED,UNOBSERVED
waxy liver,sáp gan,n,"  Hepatic amyloidosis, sometimes leading to an enlarged, firm liver described historically as a waxy liver, involves the extracellular deposition of amyloid fibrils in the liver parenchyma, which can impair liver function. ","  Bệnh amyloidosis gan, đôi khi dẫn đến gan to, chắc, được mô tả trong lịch sử là sáp gan, liên quan đến sự lắng đọng ngoại bào của các sợi amyloid trong nhu mô gan, có thể làm suy giảm chức năng gan.",UNOBSERVED,UNOBSERVED
cardiosphygmograph,tim mạch ký,,  A cardiosphygmograph is an instrument that records both the heartbeat and the pulse.  ,  Tim mạch ký là một dụng cụ ghi lại cả nhịp tim và mạch.,UNOBSERVED,UNOBSERVED
polydispersoid,thể đa phân tán,n,  A polydispersoid system contains particles of many different sizes.  ,  Một hệ thể đa phân tán chứa các hạt có nhiều kích thước khác nhau.,UNOBSERVED,UNOBSERVED
Sabin vaccine,vắc xin Sabin,n," The Sabin vaccine, an oral polio vaccine (OPV) containing live attenuated polioviruses of three serotypes, has been instrumental in global polio eradication efforts due to its ease of administration, cost-effectiveness, and ability to induce both humoral and intestinal mucosal immunity, thereby interrupting virus transmission. "," Vắc xin Sabin, một loại vắc xin bại liệt dạng uống (OPV) chứa vi rút bại liệt sống giảm độc lực của ba type huyết thanh, đã đóng vai trò quan trọng trong các nỗ lực thanh toán bệnh bại liệt toàn cầu nhờ tính dễ sử dụng, hiệu quả về chi phí và khả năng tạo miễn dịch dịch thể cũng như miễn dịch niêm mạc đường ruột, qua đó làm gián đoạn sự lây truyền của vi rút.",UNOBSERVED,UNOBSERVED
biopoiesis,tân phát sinh,,"  Biopoiesis is a term for the natural process of life arising from non-living matter, also known as abiogenesis.  ","  Tân phát sinh là một thuật ngữ để chỉ quá trình tự nhiên của sự sống phát sinh từ vật chất không sống, còn được gọi là sự phát sinh tự nhiên.",UNOBSERVED,UNOBSERVED
anal phase,giai đoạn hậu môn,n,"In Freudian psychosexual development, the anal phase (around 18-36 months) focuses on pleasure derived from bowel control and toilet training.","Trong phát triển tâm lý tình dục theo Freud, giai đoạn hậu môn (khoảng 18-36 tháng) tập trung vào khoái cảm có được từ việc kiểm soát ruột và tập đi vệ sinh.",UNOBSERVED,UNOBSERVED
Drash syndrome,hội chứng Drash,n," Drash syndrome is a rare genetic disorder characterized by nephropathy, Wilms tumor, and disorders of sex development. "," Hội chứng Drash là một rối loạn di truyền hiếm gặp đặc trưng bởi bệnh thận, u Wilms và các rối loạn phát triển giới tính.",UNOBSERVED,UNOBSERVED
metaplasis,thành thục,n,"  Metaplasis is a biological process of transformation from one mature, differentiated cell type to another mature, differentiated cell type.  ","  Thành thục là một quá trình sinh học biến đổi từ một loại tế bào trưởng thành, biệt hóa này sang một loại tế bào trưởng thành, biệt hóa khác.",UNOBSERVED,UNOBSERVED
gametocytemia,giao tử bào huyết,,"  Gametocytemia, the presence of gametocytes in the blood, is a feature of malarial infection.  ","  Giao tử bào huyết, sự hiện diện của giao tử bào trong máu, là một đặc điểm của nhiễm trùng sốt rét.",UNOBSERVED,UNOBSERVED
theophylline sodium,thuốc giãn phế quản,n,"  Preparations of theophylline sodium were historically used as bronchodilators; however, due to the narrow therapeutic index and potential for side effects associated with theophylline, its use has declined in favor of more selective and safer alternatives. ","  Các chế phẩm của theophylline sodium, một loại thuốc giãn phế quản, trước đây được sử dụng làm thuốc giãn phế quản; tuy nhiên, do phạm vi điều trị hẹp và khả năng gây tác dụng phụ liên quan đến theophylline, việc sử dụng nó đã giảm đi để nhường chỗ cho các lựa chọn thay thế có chọn lọc và an toàn hơn.",UNOBSERVED,UNOBSERVED
glomerular capsule,bao tiểu cầu,n, The fluid filtered from the blood enters the glomerular capsule (Bowman's capsule) before flowing into the renal tubule. , Dịch lọc từ máu đi vào bao tiểu cầu (bao Bowman) trước khi chảy vào ống thận.,UNOBSERVED,UNOBSERVED
hydropancreatosis,tích dịch tuyến tụy,n," Obstruction of the pancreatic duct can cause hydropancreatosis, a condition characterized by dilatation of the pancreatic ducts with fluid. "," Tắc nghẽn ống tụy có thể gây tích dịch tuyến tụy, một tình trạng đặc trưng bởi sự giãn nở của các ống tụy chứa đầy dịch.",UNOBSERVED,UNOBSERVED
ohm,ôm,n,  An ohm is the standard unit of electrical resistance.  ,  Ôm là đơn vị tiêu chuẩn của điện trở.,UNOBSERVED,UNOBSERVED
facet for calcaneonavicular ligament,mặt tiếp xúc,n, The anterior surface of the talus has a facet for calcaneonavicular ligament attachment. , Mặt trước của xương sên có một mặt tiếp xúc (diện khớp) cho dây chằng gót-thuyền bám vào.,UNOBSERVED,UNOBSERVED
minium,chì oxit đỏ,n,"  Minium, or red lead oxide, was historically used as a pigment and in some traditional remedies, though it is toxic.  ","  Chì oxit đỏ, hay minium, trong lịch sử được sử dụng làm chất màu và trong một số bài thuốc cổ truyền, mặc dù nó độc hại.",UNOBSERVED,UNOBSERVED
syntexis,gầy mòn,n,"  Prolonged starvation or severe malabsorption syndromes can result in syntexis, a profound state of bodily wasting and emaciation due to the catabolism of muscle and fat stores.  ",  Tình trạng gầy mòn do suy dinh dưỡng kéo dài hoặc do các bệnh lý tiêu hao năng lượng mạn tính có thể dẫn đến suy kiệt nghiêm trọng.,UNOBSERVED,UNOBSERVED
